id,timeStamp,location,followers,friends,ntweets
7290,371,199,338,1452,750
39169,8,627,1939,364,1842
38059,285,0,637938,446,157329
38447,578,901,148,482,1286
39308,489,1060,99,153,419
39100,546,492,1012,2000,6565
39662,7,776,207,295,419
39684,343,206,792,1160,4594
39767,279,872,94,139,2638
38854,487,772,38,135,157
39349,329,634,278,108,48
38838,3,759,110,116,3908
37932,456,410,98589,808,14153
39210,431,0,239,211,16697
39556,362,487,257,585,866
39523,440,959,4324,3565,50225
38166,16,464,226,916,96
38732,357,778,442,685,4565
39106,15,680,18,27,51
38165,458,550,408,584,20631
38446,453,0,728,546,28213
38573,2,870,53,127,17
39533,306,639,21792,22248,32952
39660,554,157,82,577,633
38334,271,685,5813,553,1364
38164,402,948,497,237,19403
39265,9,931,9721,11186,2242
39813,4,497,99,159,584
39713,433,184,66,132,1026
38625,12,508,79,243,1026
39348,4,909,55,46,764
37754,413,0,72894,545,4187
38520,262,487,745,187,9282
39361,367,487,355,817,724
37806,600,918,3017642,25119,13558
39347,433,1050,145,611,390
39168,5,0,102,1037,1
38577,472,938,116,139,2457
4107,284,0,123,492,4106
38698,336,845,4041,1965,8983
38973,511,936,227,173,112
39226,10,216,43,134,355
38535,311,487,136,202,710
38604,502,554,833,1716,3187
39499,346,444,19841,2133,1893
39498,482,474,111,232,376
38898,303,891,715689,1032,14815
38163,491,556,469,1386,5939
38363,362,492,1435,1296,8564
38125,528,444,553,1207,4452
38649,344,793,310,1164,5924
39341,302,264,293,214,57306
38210,19,494,98,127,2074
39661,6,0,26,77,122
38373,18,300,389,1949,231
38294,594,907,67,449,233
39683,3,890,27,63,723
39205,18,0,16,88,9
38896,456,123,490,224,1354
39315,371,645,201,371,12111
39493,4,614,4829,5179,183
38519,6,408,14,84,789
39794,8,873,24,49,72
38102,342,816,406,373,268
38595,343,725,17,54,62
38239,289,675,575,1458,1924
39650,396,777,9566,464,25756
38749,526,933,844,875,4583
39189,357,487,294,397,4175
39346,408,369,273,598,7315
39264,5,492,47,119,428
39490,561,148,10245,480,7114
39306,353,0,162,222,6422
38731,4,576,56,94,97
39823,3,941,326,134,6818
38434,365,313,119,739,348
38809,327,374,1482,537,26196
